system,version,queue,variant,jobid,nodes,taskspernode,threadspertask,runtime,success
juwelsbooster,2024.01,booster,strong.tiny,10465521,1,4,12,5503.9617499999995,true
juwelsbooster,2024.01,booster,strong.tiny,10465686,2,4,12,2751.8408750000003,true
juwelsbooster,2024.01,booster,strong.tiny,10466197,4,4,12,1375.9920625000002,true
juwelsbooster,2024.01,booster,strong.tiny,10466361,8,4,12,687.9929062499999,true
juwelsbooster,2024.01,booster,strong.tiny,10466447,16,4,12,343.82349999999997,true
juwelsbooster,2024.01,booster,strong.tiny,10466464,32,4,12,172.00720312500005,true
juwelsbooster,2024.01,booster,strong.tiny,10466483,64,4,12,86.03145703125003,true

