kana,consonant,vowel,consonant_mono,vowel_mono
sp,sp,sp,sp,sp
ッ,sp,q,sp,q
ン,sp,N,sp,N
ア,sp,a,sp,a
アー,sp,a:,sp,a:
イ,sp,i,sp,i
イー,sp,i:,sp,i:
ウ,sp,u,sp,u
ウー,sp,u:,sp,u:
エ,sp,e,sp,e
エー,sp,e:,sp,e:
オ,sp,o,sp,o
オー,sp,o:,sp,o:
ウァ,w+a,w-a,w,a
ウァー,w+a,w-a:,w,a:
ウヮ,w+a,w-a,w,a
ウヮー,w+a,w-a:,w,a:
ウィ,w+i,w-i,w,i
ウィー,w+i,w-i:,w,i:
ウェ,w+e,w-e,w,e
ウェー,w+e,w-e:,w,e:
ウォ,w+o,w-o,w,o
ウォー,w+o,w-o:,w,o:
カ,k+a,k-a,k,a
カー,k+a,k-a:,k,a:
キ,k+i,k-i,k,i
キー,k+i,k-i:,k,i:
ク,k+u,k-u,k,u
クー,k+u,k-u:,k,u:
ケ,k+e,k-e,k,e
ケー,k+e,k-e:,k,e:
コ,k+o,k-o,k,o
コー,k+o,k-o:,k,o:
ガ,g+a,g-a,g,a
ガー,g+a,g-a:,g,a:
ギ,g+i,g-i,g,i
ギー,g+i,g-i:,g,i:
グ,g+u,g-u,g,u
グー,g+u,g-u:,g,u:
ゲ,g+e,g-e,g,e
ゲー,g+e,g-e:,g,e:
ゴ,g+o,g-o,g,o
ゴー,g+o,g-o:,g,o:
キャ,ky+a,y-a,ky,a
キャー,ky+a,y-a:,ky,a:
キュ,ky+u,y-u,ky,u
キュー,ky+u,y-u:,ky,u:
キェ,ky+e,y-e,ky,e
キェー,ky+e,y-e:,ky,e:
キョ,ky+o,y-o,ky,o
キョー,ky+o,y-o:,ky,o:
ギャ,gy+a,y-a,gy,a
ギャー,gy+a,y-a:,gy,a:
ギュ,gy+u,y-u,gy,u
ギュー,gy+u,y-u:,gy,u:
ギェ,gy+e,y-e,gy,e
ギェー,gy+e,y-e:,gy,e:
ギョ,gy+o,y-o,gy,o
ギョー,gy+o,y-o:,gy,o:
クァ,k+a,k-a,k,a
クァー,k+a,k-a:,k,a:
クヮ,k+a,k-a,k,a
クヮー,k+a,k-a:,k,a:
クィ,k+i,k-i,k,i
クィー,k+i,k-i:,k,i:
クェ,k+e,k-e,k,e
クェー,k+e,k-e:,k,e:
クォ,k+o,k-o,k,o
クォー,k+o,k-o:,k,o:
グァ,g+a,g-a,g,a
グァー,g+a,g-a:,g,a:
グヮ,g+a,g-a,g,a
グヮー,g+a,g-a:,g,a:
グィ,g+i,g-i,g,i
グィー,g+i,g-i:,g,i:
グェ,g+e,g-e,g,e
グェー,g+e,g-e:,g,e:
グォ,g+o,g-o,g,o
グォー,g+o,g-o:,g,o:
サ,s+a,s-a,s,a
サー,s+a,s-a:,s,a:
シ,sh+i,y-i,sh,i
シー,sh+i,y-i:,sh,i:
ス,s+u,s-u,s,u
スー,s+u,s-u:,s,u:
セ,s+e,s-e,s,e
セー,s+e,s-e:,s,e:
ソ,s+o,s-o,s,o
ソー,s+o,s-o:,s,o:
ザ,z+a,z-a,z,a
ザー,z+a,z-a:,z,a:
ジ,j+i,y-i,j,i
ジー,j+i,y-i:,j,i:
ズ,z+u,z-u,z,u
ズー,z+u,z-u:,z,u:
ゼ,z+e,z-e,z,e
ゼー,z+e,z-e:,z,e:
ゾ,z+o,z-o,z,o
ゾー,z+o,z-o:,z,o:
シャ,sh+a,y-a,sh,a
シャー,sh+a,y-a:,sh,a:
