system,version,queue,variant,jobid,nodes,taskspernode,threadspertask,runtime,success
juwelsbooster,2024.01,booster,strong.tiny,10423683,8,4,32,263.9,true
juwelsbooster,2024.01,booster,strong.tiny,10423685,12,4,32,192.6,true
juwelsbooster,2024.01,booster,strong.tiny,10423686,16,4,32,145.4,true
