X,Y,Z,gg01_motion,gg44_sar_segment,comment
,,,G1,,;  Adsds
3.000,,100.000,G2,,
3.000,4.340,100.000,G3,,
3.000,4.340,100.000,G3,,; sdf
3.000,4.340,100.000,G3,G341,
