compound,c,rep1,rep2,rep3,rep4,rep5,rep6
comp1,2000,28,27,28,27,28,27
comp1,1000,30,29,30,29,33,31
comp1,250,35,37,38,41,39,36
comp1,60,58,55,56,57,56,58
comp1,15,81,83,79,84,84,83
comp1,4,94,89,91,97,96,97
comp1,1,98,96,98,105,105,108
comp1,0.25,99,95,99,104,109,108
comp1,0.06,99,99,101,99,106,108
comp2,2000,28,27,28,27,28,27
comp2,1000,27,28,29,26,28,27
comp2,250,31,33,30,30,29,31
comp2,60,34,36,42,37,38,37
comp2,15,56,57,59,60,55,60
comp2,4,80,80,83,78,83,88
comp2,1,90,90,89,96,98,101
comp2,0.25,95,100,97,99,102,103
comp2,0.06,97,98,97,102,105,107
comp3,2000,22,25,23,30,23,22
comp3,1000,23,25,25,29,25,24
comp3,250,21,24,24,24,26,25
comp3,60,24,27,32,27,27,26
comp3,15,34,34,32,35,35,39
comp3,4,48,44,38,57,60,59
comp3,1,74,76,75,82,83,87
comp3,0.25,85,89,90,99,99,104
comp3,0.06,94,96,99,106,109,106
comp4,2000,28,27,28,27,28,27
comp4,1000,30,24,26,27,22,27
comp4,250,27,27,26,26,24,20
comp4,60,24,26,29,32,28,31
comp4,15,37,37,40,45,45,48
comp4,4,51,53,59,69,65,67
comp4,1,77,78,87,95,94,97
comp4,0.25,90,94,98,105,106,111
comp4,0.06,95,99,97,106,108,110
comp5,2000,27,27,29,27,28,29
comp5,1000,28,29,30,26,24,33
comp5,250,32,33,33,38,35,37
comp5,60,49,49,51,53,47,56
comp5,15,74,75,77,78,79,80
comp5,4,91,89,90,94,94,100
comp5,1,91,94,94,104,106,104
comp5,0.25,95,96,97,102,104,107
comp5,0.06,95,97,99,105,106,108
comp6,2000,31,32,34,32,32,32
comp6,500,41,44,39,54,45,46
comp6,60,76,71,80,90,92,90
comp6,15,94,88,92,105,101,102
comp6,4,95,91,98,108,108,107
comp6,1,98,95,98,106,108,106
comp6,0.25,98,98,100,104,110,109
comp6,0.06,100,98,100,103,107,111
