compound,c,rep1,rep2,rep3,rep4
probe,3000,129,132,133,133
probe,1200,128,129,131,131
probe,480,126,127,127,124
probe,192,118,123,121,119
probe,76.8,109,105,109,107
probe,30.72,86,86,87,83
probe,12.288,60,61,62,60
probe,4.9152,39,38,41,41
probe,1.96608,30,32,32,36
probe,0.786432,23,24,31,31
probe,0.3145728,24,29,27,31
